AuthorNames,FoSNames,Year,DocType,DisplayName,Doi,OriginalTitle
Ma. Fluorence Flores; David Bolong,medicine; reproducibility; urology; prospective cohort study; residual,2012,Journal,The Journal of Urology,10.1016/j.juro.2012.02.666,589 A PROSPECTIVE STUDY ON THE CONSISTENCY AND REPRODUCIBILITY OF UROFLOWMETRY STUDIES AND POST VOID RESIDUAL MEASUREMENTS AT A BLADDER VOLUME OF 50-100% ESTIMATED BLADDER CAPACITY IN CHILDREN
J. Wood; N. Wang; B.-K. Baik; J. F. Panozzo; J. Han; G. C. Arganosa; L. J. Malcolmson; D. Driedger,relative standard deviation; statistics; standard deviation; engineering drawing; engineering; repeatability; reproducibility; food science,2012,Journal,Cereal Foods World,10.1094/CFW-57-5-0230,AACCI Approved Methods Technical Committee Report: Collaborative Study on a Method for Determining Firmness of Cooked Pulses (AACCI Method 56-36.01)
Letícia Pimenta Costa-Guarisco; Erica de Araújo Brandão Couto; Denise Utsch Gonçalves; Fernando Sales Guimarães; Ludimila Labanca,physical therapy; medicine; psychiatry; reproducibility,2017,Journal,Ciencia & Saude Coletiva,10.1590/1413-812320172211.31222016,Screening of hearing in elderly people: assessment of accuracy and reproducibility of the whispered voice test
David James; M. De Ste Croix; Linda J. Reynolds,supine position; diabetes mellitus; repeatability; baroreflex; medicine; reproducibility,2016,Journal,International Journal of Sports Medicine,10.1055/s-0042-100279,Within-day and between-day Reproducibility of Baroreflex Sensitivity in Healthy Adult Males.
Tetsuya Suhara; Toshiya Murai; Hidehiko Takahashi; Ryosuke Arakawa; Hiroshi Ito; Takeshi Sasaki; Harumasa Takano; Fumitoshi Kodaka; Saori Fujie,reproducibility; cognitive psychology; psychology; developmental psychology,2010,Journal,NeuroImage,10.1016/j.neuroimage.2010.04.073,Reproducibility of [11C]MNPA binding in healthy human subjects
Timothy L. Lash,diabetes mellitus; statistical hypothesis testing; reproducibility; applied psychology; medicine,2017,Journal,American Journal of Epidemiology,10.1093/aje/kwx260,Lash Responds to “Is Reproducibility Thwarted by Hypothesis Testing?” and “The Need for Cognitive Science in Methodology”
Daniele De Martini,reproducibility; statistical hypothesis testing; econometrics; stability; statistics; mathematics,2012,Journal,Pharmaceutical Statistics,10.1002/pst.1505,Stability criteria for the outcomes of statistical tests to assess drug effectiveness with a single study
Chang-Gyu Kim; Cheong-Hwan Lim; Sang-Hyun Han; Chong-Yeal Kim; Hong-Ryang Jung; Sang-Ho Lee; In-Gyu You; Beom-Hee Han; Eun-Hee Mo; Dong-Hee Hong,performance management; radiation; reliability engineering; electrical engineering; reproducibility; license; engineering; x ray,2014,Journal,NA,10.14400/JDC.2014.12.2.555,Evaluation of the Reproducibility of Radiation Output from Diagnostic X-ray Equipment(Standards Based on IEC 60601-2-54)
Gabriele Paolacci; Jesse Chandler; Neil Stewart,tragedy of the commons; psychology; reproducibility; cognitive science; crowd; data collection; crowdsourcing,2017,Journal,Trends in Cognitive Sciences,10.1016/j.tics.2017.06.007,Crowdsourcing Samples in Cognitive Science
Cristina de Lorenzo; Juan Luis Alcázar; Silvia Ajossa; B. Graupera; S. Guerriero; L. Juez; P. Fabbri; L. Hereter; M. Pascual; Alba Piras,pathology; medicine; reproducibility; radiology; endometrium; ranging,2017,Journal,Journal of Ultrasound in Medicine,10.7863/ultra.16.06002,Reproducibility of the International Endometrial Analysis Group Color Score for Assigning the Amount of Flow Within the Endometrium Using Stored 3-Dimensional Volumes
