AuthorIdsOrder,PaperId,namePart.1,namePart.2,namePart.3,namePart.4,Year2,authorOrder,min_years,max_years,proportion_male.x,proportion_female.x,gender.x,year_max.x,proportion_male.y,proportion_female.y,gender.y,year_max.y,proportion_male,proportion_female,gender,year_max,temp2,temp1,temp0,femaleProb0,femaleProb,genderLabel
2115766800,2293109404,Andrew,J.,Fagan,NA,1971,1,1951,1991,0.9948,0.0052,male,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0052,NA,0.0052,0
2657893971,2087919751,E.,P.,Gladkevich,NA,1965,1,1945,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2312218456,2320849621,Masatoshi,Maekawa,NA,NA,1967,1,1947,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2504292089,2072662967,Monica,Dora,Balos,NA,1970,1,1950,1990,0.0042,0.9958,female,1990,0.0038,0.9962,female,1990,NA,NA,NA,NA,NA,0.9962,0.9958,0.9962,0.9958,1
2699736628,2039846342,Hong,Ji,Lee,NA,1968,1,1948,1988,0.2492,0.7508,female,1988,0.3266,0.6734,female,1988,0.7333,0.2667,male,1988,NA,0.6734,0.7508,0.6734,0.7508,1
2102959627,2102802673,Natalia,Zamora,NA,NA,1967,1,1947,1987,0.0013,0.9987,female,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9987,NA,0.9987,1
2136678312,2729250377,Michael,R.,Harwell,NA,1972,1,1952,1992,0.9943,0.0057,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0057,NA,0.0057,0
2004877779,2070441922,Aaron,K.,Mobley,NA,1968,1,1948,1988,0.9891,0.0109,male,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109,NA,0.0109,0
2598466765,2048662168,Timothy,Gardner,NA,NA,1969,1,1949,1989,0.9952,0.0048,male,1989,1,0,male,1989,NA,NA,NA,NA,NA,NA,0.0048,NA,0.0048,0
2269073190,2765982370,Xiaoyong,Wu,NA,NA,1972,1,1952,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2082028916,1970719639,Haitem,Mm.,Naas,NA,1969,1,1949,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
945163462,2085975929,Ugo,Besson,NA,NA,1965,1,1945,1985,1,0,male,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
2428118469,2781980959,Michael,E.,McCullough,NA,1969,1,1949,1989,0.9944,0.0056,male,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0056,NA,0.0056,0
691683588,2573120639,Siamak,Sabour,NA,NA,1972,1,1952,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2318708776,2066486595,Katshuhiro,Yoshida,NA,NA,1966,1,1946,1986,NA,NA,NA,NA,0,1,female,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2654415861,2512184784,S.,Russo,NA,NA,1971,1,1951,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005200874,2512351427,A.,Gambirasio,NA,NA,1971,1,1951,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2506830259,2205513779,P.,V.,Reddy,NA,1970,1,1950,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2427593441,2057895172,N.,Wang,NA,NA,1967,1,1947,1987,NA,NA,NA,NA,1,0,male,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2575481757,1974743221,J.,M.,C.,Dang,1968,1,1948,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2765568007,2766104847,N.,Wang,NA,NA,1972,1,1952,1992,NA,NA,NA,NA,1,0,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2283436810,2324193631,E.,S.,Lima,NA,1968,1,1948,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2631405567,2327783500,Ken-ichirou,Sadamitsu,NA,NA,1965,1,1945,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2710011354,2485506961,Hamzavi-Pinon,Violaine,NA,NA,1971,1,1951,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
889616548,2319258764,J.,Bailly-Salin,NA,NA,1969,1,1949,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2741936135,2740009489,Erica,C.,Nakajima,NA,1972,1,1952,1992,0.0049,0.9951,female,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9951,NA,0.9951,1
2110097653,1978903596,Gunn,William,NA,NA,1969,1,1949,1989,NA,NA,NA,NA,0.9955,0.0045,male,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674737143,2592303973,David,L.,Rimm,NA,1972,1,1952,1992,0.9957,0.0043,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0043,NA,0.0043,0
2150249771,1483591621,Cindy,Q.,Yao,NA,1970,1,1950,1990,0.0028,0.9972,female,1990,NA,NA,NA,NA,1,0,male,1990,NA,NA,0.9972,NA,0.9972,1
2144466263,2008816000,Torsten,O.,Nielsen,NA,1968,1,1948,1988,1,0,male,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
2014366604,2580154387,Francisco,Rodríguez-Sánchez,NA,NA,1972,1,1952,1992,0.9892,0.0108,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0108,NA,0.0108,0
2214403171,2089138551,Randall,Lutter,NA,NA,1968,1,1948,1988,0.9939,0.0061,male,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0061,NA,0.0061,0
2628724643,1977509756,Veronika,Kmecl,NA,NA,1970,1,1950,1990,0,1,female,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
2222859614,2621872887,E,Maynard,NA,NA,1972,1,1952,1992,NA,NA,NA,NA,1,0,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2099002385,2175864933,John,Meadows,NA,NA,1970,1,1950,1990,0.9956,0.0044,male,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0044,NA,0.0044,0
2524318566,2016779822,Marinês,Vieira,S.,Sousa,1967,1,1947,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2132317228,2015476045,Marcio,De,Menezes,NA,1965,1,1945,1985,1,0,male,1985,0.1951,0.8049,female,1985,NA,NA,NA,NA,NA,0.8049,0,0.8049,0,0
320186962,2054182857,Yiannis,S.,Chatzizisis,NA,1969,1,1949,1989,1,0,male,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
2577148025,2599447763,Jamille,Barros,Ferreira,NA,1972,1,1952,1992,0.3063,0.6937,female,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6937,NA,0.6937,1
2190801179,2051205961,Sébastien,Roujol,NA,NA,1969,1,1949,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2299642080,2156619028,Peter,Jordan,NA,NA,1965,1,1945,1985,0.9965,0.0035,male,1985,0.8711,0.1289,male,1985,NA,NA,NA,NA,NA,NA,0.0035,NA,0.0035,0
2568295239,1569802150,Waleed,K.,Saleh,NA,1970,1,1950,1990,1,0,male,1990,NA,NA,NA,NA,1,0,male,1990,NA,NA,0,NA,0,0
2046731985,2569500599,Leonardo,Tavares,Camardella,NA,1972,1,1952,1992,0.995,0.005,male,1992,0.9864,0.0136,male,1992,NA,NA,NA,NA,NA,0.0136,0.005,0.0136,0.005,0
2061287800,1965627162,K.N.,Al,Shayeb,NA,1969,1,1949,1989,NA,NA,NA,NA,0.987,0.013,male,1989,NA,NA,NA,NA,NA,0.013,NA,0.013,0.013,0
2491974390,2007928268,F.,Mongeon,NA,NA,1969,1,1949,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013597760,2006512673,Kapil,M.,Sampat,NA,1968,1,1948,1988,1,0,male,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0
2322158496,2099358708,Marymol,Koshy,NA,NA,1968,1,1948,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2110099170,312979789,Joyce,Han,NA,NA,1970,1,1950,1990,0.0031,0.9969,female,1990,0.6052,0.3948,male,1990,NA,NA,NA,NA,NA,NA,0.9969,NA,0.9969,1
2737128459,2739218615,Jesper,Jared,Secher,NA,1972,1,1952,1992,1,0,male,1992,0.9948,0.0052,male,1992,NA,NA,NA,NA,NA,0.0052,0,0.0052,0,0
2620071710,2481155833,Jin,Hwan,Ahn,NA,1971,1,1951,1991,0.5922,0.4078,male,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4078,NA,0.4078,0
2133999961,1584312483,Anne,Reuter,NA,NA,1965,1,1945,1985,0.0024,0.9976,female,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9976,NA,0.9976,1
1895335918,2413682267,Diane,Langemo,NA,NA,1970,1,1950,1990,0.0025,0.9975,female,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9975,NA,0.9975,1
2634489861,1605301465,M.,M.,Miljkovic,NA,1967,1,1947,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2593060388,2594001514,Jonathan,M.,Bernstein,NA,1972,1,1952,1992,0.994,0.006,male,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,NA,0.006,0
2135960512,2102653483,Renske,de,Boer,NA,1965,1,1945,1985,NA,NA,NA,NA,0.1951,0.8049,female,1985,NA,NA,NA,NA,NA,0.8049,NA,0.8049,0.8049,1
2683153170,2030180576,R,Patcas,NA,NA,1968,1,1948,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2633977356,1972437037,Christopher,Khoo,NA,NA,1969,1,1949,1989,0.994,0.006,male,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,NA,0.006,0
